Grade,Strand,Standard,Arts,Code,Benchmark
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Visual Arts,9.1.1.5.1,"1. Analyze how the elements of visual art including color, line, shape, value, form, texture and space; and principles such as repetition, pattern, emphasis, contrast and balance are combined to communicate meaning in the creation of, presentation of, or response to visual artworks."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Visual Arts,9.1.1.5.2,"2. Evaluate how the principles of visual art such as repetition, pattern, emphasis, contrast and balance are used in the creation of, presentation of, or response to visual artworks."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Visual Arts,9.1.1.5.3,"3. Analyze how the characteristics of Western and non-Western styles, movements, and genres in art contribute to the creation of, presentation of, or response to artworks."
Grades 9-12,1. Artistic Foundations,1. Demonstrate knowledge of the foundations of the arts area.,Visual Arts,9.1.1.5.4,4. Apply understanding of the health and safety issues related to creating in art.
Grades 9-12,1. Artistic Foundations,"2. Demonstrate knowledge and use of the technical skills of the art form, integrating technology when applicable.",Visual Arts,9.1.2.5.1,"1. Integrate the characteristics of the tools, materials and techniques of a selected media in original artworks to support artistic purposes."
Grades 9-12,1. Artistic Foundations,"3. Demonstrate understanding of the personal, social, cultural and historical contexts that influence the arts areas.",Visual Arts,9.1.3.5.1,"1. Analyze how visual artworks influence and are influenced by personal, social, cultural or historical contexts, including the contributions of Minnesota American Indian tribes and communities."
Grades 9-12,1. Artistic Foundations,"3. Demonstrate understanding of the personal, social, cultural and historical contexts that influence the arts areas.",Visual Arts,9.1.3.5.2,2. Synthesize and express an individual view of the meaning and functions of visual art.
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Visual Arts,9.2.1.5.1,"1. Create a single, complex artwork or multiple artworks to express ideas."
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Visual Arts,9.2.1.5.2,2. Revise artworks based on artistic intent and using multiple sources of critique and feedback.
Grades 9-12,2. Artistic Process: Create or Make,1. Create or make in a variety of contexts in the arts area using the artistic foundations,Visual Arts,9.2.1.5.3,"3. Justify an artistic statement, including how audience and occasion influence creative choices."
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Visual Arts,9.3.1.5.1,"1. Present, exhibit, publish or demonstrate collections of artworks for different audiences and occasions."
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Visual Arts,9.3.1.5.2,2. Revise presentation based on artistic intent and using multiple sources of critique and feedback.
Grades 9-12,3. Artistic Process: Perform or Present,1. Perform or present in a variety of contexts in the arts area using the artistic foundations.,Visual Arts,9.3.1.5.3,"3. Justify artistic intent, including how audience and occasion influence presentation choices."
Grades 9-12,4. Artistic Process: Respond or Critique,1. Respond to or critique a variety of creations and performances using the artistic foundations.,Visual Arts,9.4.1.5.1,"1. Analyze, interpret and evaluate works of visual art by applying self-selected criteria within the traditions of the art form."
Grades 9-12,4. Artistic Process: Respond or Critique,1. Respond to or critique a variety of creations and performances using the artistic foundations.,Visual Arts,9.4.1.5.2,2. Justify choices of self-selected criteria based on knowledge of how criteria affects criticism.
